"Site","Quadrat","Weight","Legal","Sublegal","Spat","Month","Day","Year","Period","Season","Bottom","Cultch","Project"
"Redfish Creek 1",1,2.54,0,1,0,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",2,3.1,0,1,0,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",3,3.05,0,0,2,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",4,3.05,0,0,0,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",5,3.94,0,0,3,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",1,3.28,0,0,2,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",2,2.43,0,5,1,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",3,1.7,0,0,2,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",4,2.62,0,2,3,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",5,1.74,0,0,0,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",1,1.44,0,0,0,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",2,1.55,0,1,2,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",3,1.15,0,0,1,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",4,0.63,0,0,1,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",5,1.48,0,0,1,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",1,0.78,0,0,3,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",2,1.21,0,0,1,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",3,1.02,0,0,1,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",4,0.97,0,0,1,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",5,1.35,2,0,1,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
"Redfish Creek 1",1,1.15,0,0,2,7,13,2021,13,"Summer","Rock",200,"NRDA_4044"
